date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:20	499/499	---M--	200	added ('OK')	image/png	etag:%221f3-5e206ea1-13cf53;;;%22	https://gfxpartner.com/Frolic/images/plane.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/plane.png	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:20	498/498	---M--	200	added ('OK')	image/png	etag:%221f2-5e206ea1-13cfa8;;;%22	https://gfxpartner.com/Frolic/images/plane-left.png	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/plane-left.png	(from https://gfxpartner.com/Frolic/css/style.css)
15:54:21	20900/20900	---M--	200	added ('OK')	image/jpeg	etag:%2251a4-5e206ea1-13cfdc;;;%22	https://gfxpartner.com/Frolic/images/destination01.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/destination01.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
15:54:21	627/627	---M--	200	added ('OK')	image/jpeg	etag:%22273-5e206ea1-13cfb5;;;%22	https://gfxpartner.com/Frolic/images/flag-denmark.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/flag-denmark.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
15:54:21	36733/36733	---M--	200	added ('OK')	image/jpeg	etag:%228f7d-5e206ea1-13cfea;;;%22	https://gfxpartner.com/Frolic/images/destination02.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/destination02.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
15:54:21	773/773	---M--	200	added ('OK')	image/jpeg	etag:%22305-5e206ea1-13cf8d;;;%22	https://gfxpartner.com/Frolic/images/flag-iceland.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/flag-iceland.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
15:54:21	39674/39674	---M--	200	added ('OK')	image/jpeg	etag:%229afa-5e206ea1-13cfef;;;%22	https://gfxpartner.com/Frolic/images/destination03.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/destination03.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
15:54:22	485/485	---M--	200	added ('OK')	image/jpeg	etag:%221e5-5e206ea1-13cf9a;;;%22	https://gfxpartner.com/Frolic/images/flag-france.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/flag-france.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
15:54:23	512/512	---M--	200	added ('OK')	image/jpeg	etag:%22200-5e206ea1-13cfdf;;;%22	https://gfxpartner.com/Frolic/images/flag-germany.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/flag-germany.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
15:54:23	35325/35325	---M--	200	added ('OK')	image/jpeg	etag:%2289fd-5e206ea1-13cfca;;;%22	https://gfxpartner.com/Frolic/images/destination04.jpg	C:/My%20Web%20Sites/goa/gfxpartner.com/Frolic/images/destination04.jpg	(from https://gfxpartner.com/Frolic/index-norway.html)
